trip_year,trip_month,trips_made,from_station_name,usertype,rn
2013,6,32,Daley Center Plaza,Subscriber,1
2013,6,30,Clark St & Randolph St,Subscriber,2
2013,6,30,Canal St & Jackson Blvd,Subscriber,2
2013,6,27,Clinton St & Washington Blvd,Subscriber,3
2013,6,26,Franklin St & Jackson Blvd,Subscriber,4
2013,6,25,Wabash Ave & Roosevelt Rd,Subscriber,5
2013,6,24,Michigan Ave & Pearson St,Subscriber,6
2013,6,21,Dayton St & North Ave,Subscriber,7
2013,6,21,McClurg Ct & Illinois St,Subscriber,7
2013,6,20,Franklin St & Chicago Ave,Subscriber,8
2013,6,20,Clinton St & Lake St,Subscriber,8
2013,6,19,Lake Shore Dr & Monroe St,Subscriber,9
2013,6,18,Michigan Ave & Lake St,Subscriber,10
2013,6,18,Desplaines St & Kinzie St,Subscriber,10
2013,6,18,Cannon Dr & Fullerton Ave,Subscriber,10
2013,7,1027,Clinton St & Washington Blvd,Subscriber,1
2013,7,888,Canal St & Jackson Blvd,Subscriber,2
2013,7,850,Clinton St & Madison St,Subscriber,3
2013,7,727,Daley Center Plaza,Subscriber,4
2013,7,645,State St & Kinzie St,Subscriber,5
2013,7,606,Michigan Ave & Lake St,Subscriber,6
2013,7,606,Clark St & Randolph St,Subscriber,6
2013,7,602,Franklin St & Jackson Blvd,Subscriber,7
2013,7,595,Dearborn St & Adams St,Subscriber,8
2013,7,532,Clinton St & Lake St,Subscriber,9
2013,7,484,Dearborn St & Monroe St,Subscriber,10
2013,8,2088,Clinton St & Washington Blvd,Subscriber,1
2013,8,1652,Canal St & Jackson Blvd,Subscriber,2
2013,8,1380,Franklin St & Jackson Blvd,Subscriber,3
2013,8,1238,Daley Center Plaza,Subscriber,4
2013,8,1235,Clinton St & Madison St,Subscriber,5
2013,8,1034,Michigan Ave & Lake St,Subscriber,6
2013,8,996,Dearborn St & Adams St,Subscriber,7
2013,8,991,Dearborn St & Monroe St,Subscriber,8
2013,8,985,Clark St & Randolph St,Subscriber,9
2013,8,958,Clinton St & Lake St,Subscriber,10
2013,9,2726,Clinton St & Washington Blvd,Subscriber,1
2013,9,1961,Canal St & Jackson Blvd,Subscriber,2
2013,9,1599,Franklin St & Jackson Blvd,Subscriber,3
2013,9,1523,Canal St & Madison St,Subscriber,4
2013,9,1516,Daley Center Plaza,Subscriber,5
2013,9,1384,Clinton St & Madison St,Subscriber,6
2013,9,1247,Clark St & Randolph St,Subscriber,7
2013,9,1227,Dearborn St & Monroe St,Subscriber,8
2013,9,1199,Canal St & Adams St,Subscriber,9
2013,9,1199,Dearborn St & Adams St,Subscriber,9
2013,9,1152,Clinton St & Lake St,Subscriber,10
2013,10,3276,Clinton St & Washington Blvd,Subscriber,1
2013,10,1922,Canal St & Madison St,Subscriber,2
2013,10,1803,Canal St & Jackson Blvd,Subscriber,3
2013,10,1625,Canal St & Adams St,Subscriber,4
2013,10,1495,Daley Center Plaza,Subscriber,5
2013,10,1478,Clinton St & Madison St,Subscriber,6
2013,10,1444,Dearborn St & Monroe St,Subscriber,7
2013,10,1320,Larrabee St & Kingsbury St,Subscriber,8
2013,10,1309,LaSalle St & Jackson Blvd,Subscriber,9
2013,10,1300,Franklin St & Arcade Pl,Subscriber,10
2013,11,2438,Clinton St & Washington Blvd,Subscriber,1
2013,11,1359,Canal St & Madison St,Subscriber,2
2013,11,1165,Canal St & Adams St,Subscriber,3
2013,11,1140,Canal St & Jackson Blvd,Subscriber,4
2013,11,1117,Dearborn St & Monroe St,Subscriber,5
2013,11,1002,LaSalle St & Jackson Blvd,Subscriber,6
2013,11,972,Clinton St & Madison St,Subscriber,7
2013,11,938,Franklin St & Arcade Pl,Subscriber,8
2013,11,920,Larrabee St & Kingsbury St,Subscriber,9
2013,11,805,Orleans St & Merchandise Mart Plaza,Subscriber,10
2013,12,1364,Clinton St & Washington Blvd,Subscriber,1
2013,12,878,Canal St & Madison St,Subscriber,2
2013,12,765,Canal St & Adams St,Subscriber,3
2013,12,714,Dearborn St & Monroe St,Subscriber,4
2013,12,660,LaSalle St & Jackson Blvd,Subscriber,5
2013,12,657,Canal St & Jackson Blvd,Subscriber,6
2013,12,607,Franklin St & Arcade Pl,Subscriber,7
2013,12,581,Clinton St & Madison St,Subscriber,8
2013,12,549,Larrabee St & Kingsbury St,Subscriber,9
2013,12,507,LaSalle St & Washington St,Subscriber,10
2014,1,860,Clinton St & Washington Blvd,Subscriber,1
2014,1,563,Canal St & Madison St,Subscriber,2
2014,1,487,Canal St & Adams St,Subscriber,3
2014,1,423,Franklin St & Arcade Pl,Subscriber,4
2014,1,384,LaSalle St & Jackson Blvd,Subscriber,5
2014,1,380,Canal St & Jackson Blvd,Subscriber,6
2014,1,372,Dearborn St & Monroe St,Subscriber,7
2014,1,339,Michigan Ave & Lake St,Subscriber,8
2014,1,338,Clinton St & Madison St,Subscriber,9
2014,1,292,LaSalle St & Washington St,Subscriber,10
2014,2,947,Clinton St & Washington Blvd,Subscriber,1
2014,2,706,Canal St & Madison St,Subscriber,2
2014,2,543,Canal St & Adams St,Subscriber,3
2014,2,536,Franklin St & Arcade Pl,Subscriber,4
2014,2,468,Dearborn St & Monroe St,Subscriber,5
2014,2,459,LaSalle St & Jackson Blvd,Subscriber,6
2014,2,454,Canal St & Jackson Blvd,Subscriber,7
2014,2,452,Michigan Ave & Lake St,Subscriber,8
2014,2,391,Larrabee St & Kingsbury St,Subscriber,9
2014,2,377,Clinton St & Madison St,Subscriber,10
2014,3,1588,Clinton St & Washington Blvd,Subscriber,1
2014,3,1186,Canal St & Madison St,Subscriber,2
2014,3,1017,Dearborn St & Monroe St,Subscriber,3
2014,3,934,Franklin St & Arcade Pl,Subscriber,4
2014,3,891,Canal St & Adams St,Subscriber,5
2014,3,853,Canal St & Jackson Blvd,Subscriber,6
2014,3,734,LaSalle St & Jackson Blvd,Subscriber,7
2014,3,734,Clinton St & Madison St,Subscriber,7
2014,3,724,Orleans St & Merchandise Mart Plaza,Subscriber,8
2014,3,688,Michigan Ave & Lake St,Subscriber,9
2014,3,668,Larrabee St & Kingsbury St,Subscriber,10
2014,4,2635,Clinton St & Washington Blvd,Subscriber,1
2014,4,2050,Canal St & Adams St,Subscriber,2
2014,4,1799,Canal St & Madison St,Subscriber,3
2014,4,1553,Dearborn St & Monroe St,Subscriber,4
2014,4,1470,Franklin St & Arcade Pl,Subscriber,5
2014,4,1264,LaSalle St & Jackson Blvd,Subscriber,6
2014,4,1167,Larrabee St & Kingsbury St,Subscriber,7
2014,4,1156,Orleans St & Merchandise Mart Plaza,Subscriber,8
2014,4,1096,Canal St & Monroe St,Subscriber,9
2014,4,1086,Michigan Ave & Lake St,Subscriber,10
2014,5,3375,Clinton St & Washington Blvd,Subscriber,1
2014,5,2759,Canal St & Adams St,Subscriber,2
2014,5,2528,Canal St & Madison St,Subscriber,3
2014,5,2150,Franklin St & Arcade Pl,Subscriber,4
2014,5,1945,Columbus Dr & Randolph St,Subscriber,5
2014,5,1928,Dearborn St & Monroe St,Subscriber,6
2014,5,1810,LaSalle St & Jackson Blvd,Subscriber,7
2014,5,1693,Theater on the Lake,Subscriber,8
2014,5,1603,Orleans St & Merchandise Mart Plaza,Subscriber,9
2014,5,1564,Canal St & Monroe St,Subscriber,10
2014,6,4058,Clinton St & Washington Blvd,Subscriber,1
2014,6,3287,Canal St & Adams St,Subscriber,2
2014,6,3129,Canal St & Madison St,Subscriber,3
2014,6,2639,Franklin St & Arcade Pl,Subscriber,4
2014,6,2568,Columbus Dr & Randolph St,Subscriber,5
2014,6,2328,Theater on the Lake,Subscriber,6
2014,6,2215,Dearborn St & Monroe St,Subscriber,7
2014,6,2113,Clinton St & Madison St,Subscriber,8
2014,6,2087,LaSalle St & Jackson Blvd,Subscriber,9
2014,6,2049,Orleans St & Merchandise Mart Plaza,Subscriber,10
2014,7,4758,Clinton St & Washington Blvd,Subscriber,1
2014,7,4362,Canal St & Adams St,Subscriber,2
2014,7,3851,Canal St & Madison St,Subscriber,3
2014,7,3415,Columbus Dr & Randolph St,Subscriber,4
2014,7,2781,Theater on the Lake,Subscriber,5
2014,7,2751,Franklin St & Arcade Pl,Subscriber,6
2014,7,2524,Daley Center Plaza,Subscriber,7
2014,7,2516,Clinton St & Madison St,Subscriber,8
2014,7,2446,Lake Shore Dr & North Blvd,Subscriber,9
2014,7,2428,Clark St & Elm St,Subscriber,10
2014,8,4129,Clinton St & Washington Blvd,Subscriber,1
2014,8,3531,Canal St & Madison St,Subscriber,2
2014,8,3309,Canal St & Adams St,Subscriber,3
2014,8,3037,Columbus Dr & Randolph St,Subscriber,4
2014,8,2691,Franklin St & Arcade Pl,Subscriber,5
2014,8,2504,Canal St & Jackson Blvd,Subscriber,6
2014,8,2460,Theater on the Lake,Subscriber,7
2014,8,2414,Clinton St & Madison St,Subscriber,8
2014,8,2364,Clark St & Elm St,Subscriber,9
2014,8,2221,Wells St & Concord Ln,Subscriber,10
2014,9,4364,Clinton St & Washington Blvd,Subscriber,1
2014,9,3536,Canal St & Madison St,Subscriber,2
2014,9,3226,Canal St & Adams St,Subscriber,3
2014,9,2638,Columbus Dr & Randolph St,Subscriber,4
2014,9,2353,Franklin St & Arcade Pl,Subscriber,5
2014,9,2318,Canal St & Jackson Blvd,Subscriber,6
2014,9,2215,LaSalle St & Jackson Blvd,Subscriber,7
2014,9,2177,Clinton St & Madison St,Subscriber,8
2014,9,2151,Daley Center Plaza,Subscriber,9
2014,9,2087,Clinton St & Lake St,Subscriber,10
2014,10,4176,Clinton St & Washington Blvd,Subscriber,1
2014,10,3296,Canal St & Madison St,Subscriber,2
2014,10,3236,Canal St & Adams St,Subscriber,3
2014,10,2480,Canal St & Jackson Blvd,Subscriber,4
2014,10,2432,Columbus Dr & Randolph St,Subscriber,5
2014,10,2241,Franklin St & Arcade Pl,Subscriber,6
2014,10,2189,LaSalle St & Jackson Blvd,Subscriber,7
2014,10,1982,Clinton St & Madison St,Subscriber,8
2014,10,1954,Daley Center Plaza,Subscriber,9
2014,10,1899,Larrabee St & Kingsbury St,Subscriber,10
2014,11,2518,Clinton St & Washington Blvd,Subscriber,1
2014,11,1892,Canal St & Madison St,Subscriber,2
2014,11,1821,Canal St & Adams St,Subscriber,3
2014,11,1392,Canal St & Jackson Blvd,Subscriber,4
2014,11,1240,Franklin St & Arcade Pl,Subscriber,5
2014,11,1212,LaSalle St & Jackson Blvd,Subscriber,6
2014,11,1150,Columbus Dr & Randolph St,Subscriber,7
2014,11,1090,Dearborn St & Monroe St,Subscriber,8
2014,11,1081,Daley Center Plaza,Subscriber,9
2014,11,1067,Clinton St & Madison St,Subscriber,10
2014,12,2131,Clinton St & Washington Blvd,Subscriber,1
2014,12,1476,Canal St & Madison St,Subscriber,2
2014,12,1466,Canal St & Adams St,Subscriber,3
2014,12,1178,Canal St & Jackson Blvd,Subscriber,4
2014,12,1056,LaSalle St & Jackson Blvd,Subscriber,5
